user_id,movie_id,rating,timestamp
1680,2987,5,974712327
1680,1248,4,974843691
1680,2988,5,974714208
1680,1249,4,974711517
1680,2989,5,974838921
1680,571,4,974714165
1680,719,2,974837361
1680,574,3,974715454
1680,575,2,974838259
1680,577,1,974839862
1680,3930,4,974709091
1680,3932,3,974708761
1680,2050,4,974838259
1680,3936,4,974714208
1680,2051,4,974838134
1680,3937,2,974844797
1680,3791,4,974842401
1680,2052,4,974837450
1680,3938,4,974710127
1680,2990,2,974714061
1680,2053,3,974838189
1680,1251,4,974710590
1680,3939,3,974710127
1680,2991,3,974838858
1680,2054,4,974837260
1680,1252,5,974843691
1680,2992,4,974709972
1680,2055,4,974838427
1680,720,4,974790351
1680,1255,4,974708918
1680,722,4,974710704
1680,2995,3,974709734
1680,1256,4,974711893
1680,3798,4,974716156
1680,2059,1,974839862
1680,1257,3,974713920
1680,724,5,974709091
1680,2997,4,974710734
1680,1258,5,974708713
1680,1259,5,974712223
1680,580,4,974841420
1680,581,5,974711282
1680,728,5,974837167
1680,585,4,974715488
1680,586,1,974837450
1680,587,1,974716318
1680,588,4,974713412
1680,589,5,974838752
1680,1,4,974712079
1680,2,4,974839862
1680,3,3,974838162
1680,3940,3,974708446
1680,3941,4,974710177
1680,5,3,974837992
1680,3942,3,974710071
1680,3005,4,974844684
1680,2203,5,974711164
1680,6,1,974838752
1680,3006,2,974840746
1680,7,3,974837728
1680,2060,4,974837960
1680,3946,4,974839579
1680,1405,4,974716363
1680,1406,4,974840609
1680,1260,4,974710849
1680,3948,4,974713196
1680,1407,4,974708857
1680,1261,4,974790116
1680,2064,4,974832715
1680,1408,3,974713786
1680,1409,3,974844218
1680,1263,4,974713166
1680,1264,4,974711318
1680,731,2,974843945
1680,2068,3,974842443
1680,1266,5,974844953
1680,733,4,974838889
1680,2069,3,974842055
1680,1268,4,974714374
1680,735,4,974708665
1680,590,2,974715570
1680,736,5,974839235
1680,737,2,974839511
1680,592,4,974712727
1680,593,5,974711049
1680,594,4,974712361
1680,595,4,974713031
1680,596,4,974790392
1680,597,4,974837167
1680,3013,3,974709336
1680,1410,3,974838288
1680,3015,5,974844604
1680,1411,4,974711783
1680,3016,5,974709177
1680,2215,4,974844313
1680,3018,5,974708665
1680,2070,4,974712868
1680,1414,4,974713512
1680,3019,4,974712764
1680,2071,1,974841293
1680,1415,4,974710334
